date,signal,short_mavg,long_mavg,positions
2018-08-10 02:00:00,0.0,5564.700000000001,5978.119999999999,0.0
2018-08-11 02:00:00,0.0,5484.525000000001,5875.28,0.0
2018-08-12 02:00:00,0.0,5517.45,5779.8099999999995,0.0
2018-08-13 02:00:00,0.0,5473.5,5689.61,0.0
2018-08-14 02:00:00,0.0,5493.725,5630.879999999999,0.0
2018-08-15 02:00:00,0.0,5510.225,5577.46,0.0
2018-08-16 02:00:00,0.0,5515.625,5533.7,0.0
2018-08-17 02:00:00,1.0,5581.3,5530.57,1.0
2018-08-18 02:00:00,1.0,5617.075,5549.7300000000005,0.0
2018-08-19 02:00:00,1.0,5650.25,5549.35,0.0
2018-08-20 02:00:00,1.0,5622.9,5556.98,0.0
2018-08-21 02:00:00,1.0,5580.999999999999,5569.159999999999,0.0
2018-08-22 02:00:00,0.0,5550.224999999999,5562.839999999998,-1.0
2018-08-23 02:00:00,0.0,5545.775,5578.259999999998,0.0
2018-08-24 02:00:00,1.0,5621.35,5608.029999999999,1.0
2018-08-25 02:00:00,1.0,5670.550000000001,5633.289999999999,0.0
2018-08-26 02:00:00,1.0,5741.475000000001,5653.1799999999985,0.0
2018-08-27 02:00:00,1.0,5803.175000000001,5667.009999999999,0.0
2018-08-28 02:00:00,1.0,5876.450000000001,5711.779999999999,0.0
2018-08-29 02:00:00,1.0,5928.6,5744.629999999999,0.0
2018-08-30 02:00:00,1.0,5982.550000000001,5797.039999999999,0.0
2018-08-31 02:00:00,1.0,6015.600000000001,5840.8499999999985,0.0
2018-09-01 02:00:00,1.0,6047.200000000001,5910.569999999999,0.0
2018-09-02 02:00:00,1.0,6117.800000000001,5973.44,0.0
2018-09-03 02:00:00,1.0,6183.425000000001,6021.869999999999,0.0
2018-09-04 02:00:00,1.0,6261.025000000001,6077.039999999999,0.0
2018-09-05 02:00:00,1.0,6154.65,6075.839999999998,0.0
2018-09-06 02:00:00,0.0,5984.174999999999,6045.839999999999,-1.0
2018-09-07 02:00:00,0.0,5806.024999999999,5993.7,0.0
2018-09-08 02:00:00,0.0,5562.924999999999,5930.7699999999995,0.0
2018-09-09 02:00:00,0.0,5474.424999999999,5872.59,0.0
2018-09-10 02:00:00,0.0,5434.624999999999,5813.450000000001,0.0
2018-09-11 02:00:00,0.0,5405.375,5736.97,0.0
2018-09-12 02:00:00,0.0,5423.599999999999,5653.09,0.0
2018-09-13 02:00:00,0.0,5463.025,5584.43,0.0
2018-09-14 02:00:00,0.0,5496.275,5507.550000000001,0.0
2018-09-15 02:00:00,1.0,5544.125,5492.76,1.0
2018-09-16 02:00:00,1.0,5580.325000000001,5491.550000000001,0.0
2018-09-17 02:00:00,1.0,5531.075000000001,5474.450000000001,0.0
2018-09-18 02:00:00,1.0,5492.925000000001,5479.550000000001,0.0
2018-09-19 02:00:00,0.0,5461.225000000001,5487.4800000000005,-1.0
2018-09-20 02:00:00,0.0,5443.000000000002,5494.9,0.0
2018-09-21 02:00:00,1.0,5536.700000000003,5526.9800000000005,1.0
2018-09-22 02:00:00,1.0,5608.425000000002,5553.4800000000005,0.0
2018-09-23 02:00:00,1.0,5661.800000000002,5566.99,0.0
2018-09-24 02:00:00,1.0,5683.225000000002,5569.679999999999,0.0
2018-09-25 02:00:00,1.0,5617.675000000003,5556.4,0.0
2018-09-26 02:00:00,1.0,5565.100000000002,5547.389999999999,0.0
2018-09-27 02:00:00,0.0,5576.850000000002,5585.299999999999,-1.0
2018-09-28 02:00:00,0.0,5604.150000000002,5614.17,0.0
